date,day,departure_time,arrival_time,airline,flight_time,seat_class,price,mark_url
601,목,630,740,아시아나항공,1시간 10분,특가석,36900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,630,740,아시아나항공,1시간 10분,할인석,57900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,630,740,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,640,750,아시아나항공,1시간 10분,특가석,33900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,640,750,아시아나항공,1시간 10분,할인석,57900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,640,750,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,640,750,아시아나항공,1시간 10분,비즈니스석,136900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,700,810,대한항공,1시간 10분,특가석,39900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,730,840,에어서울,1시간 10분,특가석,27800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,730,840,에어서울,1시간 10분,할인석,28800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,730,840,에어서울,1시간 10분,일반석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,740,850,제주항공,1시간 10분,특가석,25800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,740,850,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,755,905,티웨이항공,1시간 10분,할인석,29100,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,755,905,아시아나항공,1시간 10분,특가석,36900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,755,905,아시아나항공,1시간 10분,할인석,57900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,755,905,티웨이항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,755,905,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,805,915,제주항공,1시간 10분,특가석,25800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,805,915,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,810,915,이스타항공,1시간 05분,할인석,31800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,810,915,이스타항공,1시간 05분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,815,930,진에어,1시간 15분,특가석,32800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,815,930,진에어,1시간 15분,할인석,37800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,815,930,진에어,1시간 15분,일반석,80500,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,830,940,이스타항공,1시간 10분,할인석,31800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,830,940,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,840,1000,에어부산,1시간 20분,할인석,26630,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,840,950,대한항공,1시간 10분,특가석,39900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,840,1000,에어부산,1시간 20분,일반석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,845,955,티웨이항공,1시간 10분,할인석,37610,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,845,955,아시아나항공,1시간 10분,특가석,40900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
