checkin_date,checkin_day,ckeckout_date,checkout_day,hotel_name,location,grade,score,customer_num,price
601,목,603,토,파르나스 호텔 제주,서귀포,5,9.2,2,727500
601,목,603,토,제주 신라 호텔,서귀포,5,9.0,2,772750
601,목,603,토,랜딩관 제주신화월드 호텔앤리조트,서귀포,5,8.3,2,303040
601,목,603,토,메종 글래드 제주,제주,5,8.1,2,332259
601,목,603,토,롯데 호텔 제주,서귀포,5,8.8,2,630000
601,목,603,토,라마다 프라자 제주 호텔,제주,5,8.2,2,357025
601,목,603,토,신라스테이 제주,제주,4,8.0,2,249400
601,목,603,토,그랜드 하얏트 제주,제주,5,8.8,2,608400
601,목,603,토,유탑 유블레스호텔,제주,4,8.0,2,554647
601,목,603,토,그랜드 조선 제주,서귀포,5,8.9,2,630018
601,목,603,토,에코랜드 호텔,제주,0,0.0,2,333223
601,목,603,토,베스트웨스턴 제주호텔,제주,4,7.6,2,177596
601,목,603,토,탐라스테이 호텔 제주,제주,4,7.7,2,147397
601,목,603,토,라마다 제주 시티 호텔,제주,4,8.1,2,154712
601,목,603,토,신화관 제주신화월드 호텔앤리조트,서귀포,5,8.3,2,435666
601,목,603,토,해비치 호텔 & 리조트,서귀포,5,8.6,2,602055
601,목,603,토,호텔 리젠트 마린 더 블루,제주,4,8.2,2,403953
601,목,603,토,브라운 스위트 제주,서귀포,4,7.3,2,86748
601,목,603,토,서머셋 제주신화월드,서귀포,5,8.6,2,897900
601,목,603,토,휘닉스 제주 섭지코지,서귀포,4,7.8,2,662338
601,목,603,토,더큐브 리조트 제주,서귀포,4,8.2,2,138739
601,목,603,토,롯데시티호텔 제주,제주,4,8.5,2,275500
601,목,603,토,호텔 브릿지 서귀포,서귀포,4,8.0,2,139142
601,목,603,토,호텔 케니 서귀포,서귀포,3,8.1,2,66073
601,목,603,토,호텔 시리우스,제주,4,8.3,2,254108
601,목,603,토,골든튤립 제주성산호텔,서귀포,4,7.7,2,124017
601,목,603,토,호텔 난타,제주,4,8.6,2,166364
601,목,603,토,더 베스트 제주 성산,서귀포,4,7.9,2,87603
601,목,603,토,한림리조트,제주,0,0.0,2,214545
601,목,603,토,메리어트관 제주신화월드 호텔앤리조트,서귀포,5,8.4,2,378846
601,목,603,토,호텔 토스카나,서귀포,5,9.0,2,407782
601,목,603,토,서귀포 JS호텔,서귀포,4,8.4,2,98430
601,목,603,토,히든 클리프 호텔&네이쳐,서귀포,5,8.3,2,350480
601,목,603,토,제주 웨스턴 그레이스 호텔,서귀포,3,8.4,2,62660
601,목,603,토,호텔 샬롬 제주,제주,4,7.9,2,97386
601,목,603,토,코델리아 S 호텔,서귀포,3,7.6,2,66942
601,목,603,토,세인트 비치 호텔,제주,4,7.0,2,134010
601,목,603,토,함덕비치스테이제주,제주,2,8.0,2,123884
601,목,603,토,호텔 케니 모슬포,서귀포,3,8.4,2,92722
601,목,603,토,더 그랜드 섬오름,서귀포,4,8.3,2,278400
601,목,603,토,스탠포드 호텔 & 리조트 제주,제주,0,8.0,2,293637
601,목,603,토,아스타 호텔,제주,4,8.4,2,134878
601,목,603,토,골든데이지 서귀포오션 호텔,서귀포,4,7.9,2,84568
601,목,603,토,스타즈 호텔 제주 로베로점,제주,3,8.0,2,73714
601,목,603,토,그라벨 호텔,제주,4,8.1,2,168538
601,목,603,토,훈데르트힐즈,제주,0,0.0,2,480272
601,목,603,토,글로스터 호텔 제주,제주,4,8.3,2,126275
601,목,603,토,엠스테이 호텔 제주,서귀포,4,7.8,2,75972
601,목,603,토,제주 센트럴시티호텔,제주,3,7.7,2,119869
601,목,603,토,신신호텔 천지연,서귀포,4,7.9,2,55037
601,목,603,토,신신호텔 제주공항,제주,4,7.6,2,84945
601,목,603,토,플레이스 캠프 제주,서귀포,4,8.3,2,73347
601,목,603,토,레슬리 호텔,제주,3,7.8,2,103780
601,목,603,토,헤이 서귀포,서귀포,3,7.9,2,64980
601,목,603,토,루체빌,서귀포,3,8.4,2,434344
601,목,603,토,까사로마 호텔,서귀포,3,8.8,2,188837
601,목,603,토,캠퍼트리 호텔 앤 리조트,제주,4,8.4,2,302315
601,목,603,토,제주 디 아일랜드 블루 호텔,서귀포,4,8.1,2,123636
601,목,603,토,산방산 호텔,서귀포,3,8.5,2,180412
601,목,603,토,유니호텔 제주,제주,4,7.7,2,327272
601,목,603,토,코업시티호텔 성산,서귀포,4,7.9,2,219972
601,목,603,토,스위트 호텔 제주,서귀포,5,8.3,2,434543
601,목,603,토,어반아일랜드 호텔,제주,3,7.4,2,91985
601,목,603,토,엠버퓨어힐호텔&리조트,제주,5,9.2,2,863636
601,목,603,토,서귀포 칼 호텔,서귀포,5,8.2,2,524015
601,목,603,토,신신호텔 제주월드컵,서귀포,4,7.7,2,52972
601,목,603,토,벨룸 리조트,서귀포,5,8.8,2,742860
601,목,603,토,오션스위츠 제주 호텔,제주,4,8.1,2,272073
601,목,603,토,호텔 위드 제주,제주,4,8.0,2,136363
601,목,603,토,제주 아리아 호텔,서귀포,3,8.4,2,151726
601,목,603,토,라마다 바이 윈덤 제주 더 함덕,제주,4,7.8,2,171436
601,목,603,토,호텔에어시티,제주,4,7.9,2,115909
601,목,603,토,위드스테이호텔,제주,4,8.7,2,106414
601,목,603,토,파크 선샤인 제주,서귀포,3,8.9,2,183472
601,목,603,토,베니키아 호텔 제주,제주,3,7.5,2,95432
601,목,603,토,신신호텔 서귀포,서귀포,4,8.0,2,67967
601,목,603,토,샐리스 제주 호텔,제주,3,7.2,2,143865
601,목,603,토,퍼스트70 호텔,서귀포,4,8.1,2,100044
601,목,603,토,아이미제주비치호텔,제주,3,7.2,2,88562
601,목,603,토,포도 호텔,서귀포,0,0.0,2,1098353
601,목,603,토,오션 팰리스 호텔,서귀포,4,7.4,2,83183
601,목,603,토,제주 노블레스 관광호텔,제주,3,7.8,2,113937
601,목,603,토,호텔 빠레브,서귀포,4,8.2,2,137236
601,목,603,토,호텔 레오,제주,4,8.9,2,128091
601,목,603,토,애월 스테이 인 제주,제주,2,8.6,2,196683
601,목,603,토,위드시티호텔,제주,2,7.0,2,108822
601,목,603,토,오션블루 호텔,서귀포,3,7.2,2,78420
601,목,603,토,제주 썬호텔,제주,5,8.8,2,222201
601,목,603,토,블루 하와이 리조트,제주,3,7.9,2,121009
601,목,603,토,머큐어 앰배서더 제주,서귀포,5,8.0,2,328926
601,목,603,토,호텔 화인 제주,서귀포,4,9.2,2,115455
601,목,603,토,호텔 스카이파크 제주 1호점,제주,3,7.8,2,118365
601,목,603,토,엠버 호텔 제주,제주,4,8.5,2,134388
601,목,603,토,호텔더그랑 서귀포,서귀포,3,10.0,2,163636
601,목,603,토,탑스텐 빌라 드 애월,제주,4,8.2,2,216093
601,목,603,토,아길라 호텔,제주,3,7.9,2,263636
601,목,603,토,호텔 삼해인,제주,1,8.0,2,57395
601,목,603,토,더 포 그레이스 리조트,서귀포,3,7.9,2,100358
601,목,603,토,소랑 풀빌라,제주,3,8.4,2,281818
601,목,603,토,오션스타,서귀포,0,0.0,2,229091
602,금,604,일,제주 신라 호텔,서귀포,5,9.0,2,1012000
602,금,604,일,메종 글래드 제주,제주,5,8.1,2,281820
602,금,604,일,롯데 호텔 제주,서귀포,5,8.8,2,685500
602,금,604,일,라마다 프라자 제주 호텔,제주,5,8.2,2,327273
602,금,604,일,신라스테이 제주,제주,4,8.0,2,266800
602,금,604,일,그랜드 하얏트 제주,제주,5,8.8,2,716400
602,금,604,일,유탑 유블레스호텔,제주,4,8.0,2,207127
602,금,604,일,그랜드 조선 제주,서귀포,5,8.9,2,774024
602,금,604,일,에코랜드 호텔,제주,0,0.0,2,449587
602,금,604,일,휘슬락 호텔,제주,4,7.7,2,159919
602,금,604,일,베스트웨스턴 제주호텔,제주,4,7.6,2,161158
602,금,604,일,탐라스테이 호텔 제주,제주,4,7.7,2,164793
602,금,604,일,라마다 제주 시티 호텔,제주,4,8.1,2,154712
602,금,604,일,신화관 제주신화월드 호텔앤리조트,서귀포,5,8.3,2,569800
602,금,604,일,해비치 호텔 & 리조트,서귀포,5,8.6,2,754688
602,금,604,일,호텔 리젠트 마린 더 블루,제주,4,8.2,2,419739
602,금,604,일,브라운 스위트 제주,서귀포,4,7.3,2,84776
602,금,604,일,휘닉스 제주 섭지코지,서귀포,4,7.8,2,724155
602,금,604,일,더큐브 리조트 제주,서귀포,4,8.2,2,149410
602,금,604,일,롯데시티호텔 제주,제주,4,8.5,2,304001
602,금,604,일,호텔 브릿지 서귀포,서귀포,4,8.0,2,435029
602,금,604,일,호텔 케니 서귀포,서귀포,3,8.1,2,66909
602,금,604,일,호텔 시리우스,제주,4,8.3,2,254108
602,금,604,일,제주 부영 호텔&리조트,서귀포,5,9.1,2,354998
602,금,604,일,골든튤립 제주성산호텔,서귀포,4,7.7,2,122520
602,금,604,일,호텔 난타,제주,4,8.6,2,189626
602,금,604,일,더 베스트 제주 성산,서귀포,4,7.9,2,87603
602,금,604,일,한림리조트,제주,0,0.0,2,261818
602,금,604,일,서귀포 JS호텔,서귀포,4,8.4,2,107370
602,금,604,일,제주 웨스턴 그레이스 호텔,서귀포,3,8.4,2,56407
602,금,604,일,호텔 샬롬 제주,제주,4,7.9,2,97386
602,금,604,일,코델리아 S 호텔,서귀포,3,7.6,2,66116
602,금,604,일,세인트 비치 호텔,제주,4,7.0,2,142944
602,금,604,일,함덕비치스테이제주,제주,2,8.0,2,131736
602,금,604,일,호텔 케니 모슬포,서귀포,3,8.4,2,86767
602,금,604,일,스탠포드 호텔 & 리조트 제주,제주,0,8.0,2,307686
602,금,604,일,아스타 호텔,제주,4,8.4,2,148403
602,금,604,일,골든데이지 서귀포오션 호텔,서귀포,4,7.9,2,86535
602,금,604,일,스타즈 호텔 제주 로베로점,제주,3,8.0,2,85474
602,금,604,일,그라벨 호텔,제주,4,8.1,2,152047
602,금,604,일,훈데르트힐즈,제주,0,0.0,2,663964
602,금,604,일,글로스터 호텔 제주,제주,4,8.3,2,147273
602,금,604,일,엠스테이 호텔 제주,서귀포,4,7.8,2,75972
602,금,604,일,제주 센트럴시티호텔,제주,3,7.7,2,122723
602,금,604,일,신신호텔 천지연,서귀포,4,7.9,2,53508
602,금,604,일,신신호텔 제주공항,제주,4,7.6,2,97196
602,금,604,일,플레이스 캠프 제주,서귀포,4,8.3,2,74544
602,금,604,일,레슬리 호텔,제주,3,7.8,2,103780
602,금,604,일,헤이 서귀포,서귀포,3,7.9,2,74440
602,금,604,일,루체빌,서귀포,3,8.4,2,213904
602,금,604,일,캠퍼트리 호텔 앤 리조트,제주,4,8.4,2,327934
