checkin_date,checkin_day,checkout_date,checkout_day,name,location,grade,score,customer_num,price
601,목,603,토,파르나스 호텔 제주,서귀포,5,9.2,4,1280000
601,목,603,토,제주 신라 호텔,서귀포,5,9.0,4,10780000
601,목,603,토,랜딩관 제주신화월드 호텔앤리조트,서귀포,5,8.3,4,516780
601,목,603,토,메종 글래드 제주,제주,5,8.1,4,369289
601,목,603,토,라마다 프라자 제주 호텔,제주,5,8.2,4,375693
601,목,603,토,그랜드 조선 제주,서귀포,5,8.9,4,698400
601,목,603,토,에코랜드 호텔,제주,0,0.0,4,939372
601,목,603,토,베스트웨스턴 제주호텔,제주,4,7.6,4,181818
601,목,603,토,탐라스테이 호텔 제주,제주,4,7.7,4,245741
601,목,603,토,라마다 제주 시티 호텔,제주,4,8.1,4,297522
601,목,603,토,해비치 호텔 & 리조트,서귀포,5,8.6,4,603500
601,목,603,토,브라운 스위트 제주,서귀포,4,7.3,4,269974
601,목,603,토,서머셋 제주신화월드,서귀포,5,8.6,4,885600
601,목,603,토,휘닉스 제주 섭지코지,서귀포,4,7.8,4,670909
601,목,603,토,더큐브 리조트 제주,서귀포,4,8.2,4,151034
601,목,603,토,호텔 난타,제주,4,8.6,4,247582
601,목,603,토,더 베스트 제주 성산,서귀포,4,7.9,4,145455
601,목,603,토,한림리조트,제주,0,0.0,4,243409
601,목,603,토,메리어트관 제주신화월드 호텔앤리조트,서귀포,5,8.4,4,860000
601,목,603,토,호텔 토스카나,서귀포,5,9.0,4,640000
601,목,603,토,서귀포 JS호텔,서귀포,4,8.4,4,122210
601,목,603,토,함덕비치스테이제주,제주,2,8.0,4,171818
601,목,603,토,호텔 케니 모슬포,서귀포,3,8.4,4,163032
601,목,603,토,더 그랜드 섬오름,서귀포,4,8.3,4,467420
601,목,603,토,골든데이지 서귀포오션 호텔,서귀포,4,7.9,4,133048
601,목,603,토,그라벨 호텔,제주,4,8.1,4,296612
601,목,603,토,훈데르트힐즈,제주,0,0.0,4,513223
601,목,603,토,엠스테이 호텔 제주,서귀포,4,7.8,4,95868
601,목,603,토,제주 센트럴시티호텔,제주,3,7.7,4,145804
601,목,603,토,플레이스 캠프 제주,서귀포,4,8.3,4,374818
601,목,603,토,헤이 서귀포,서귀포,3,7.9,4,121364
601,목,603,토,루체빌,서귀포,3,8.4,4,434344
601,목,603,토,까사로마 호텔,서귀포,3,8.8,4,291919
601,목,603,토,캠퍼트리 호텔 앤 리조트,제주,4,8.4,4,452727
601,목,603,토,제주 디 아일랜드 블루 호텔,서귀포,4,8.1,4,184052
601,목,603,토,산방산 호텔,서귀포,3,8.5,4,311323
601,목,603,토,유니호텔 제주,제주,4,7.7,4,327272
601,목,603,토,스위트 호텔 제주,서귀포,5,8.3,4,451675
601,목,603,토,엠버퓨어힐호텔&리조트,제주,5,9.2,4,954545
601,목,603,토,신신호텔 제주월드컵,서귀포,4,7.7,4,145026
601,목,603,토,벨룸 리조트,서귀포,5,8.8,4,748727
601,목,603,토,오션스위츠 제주 호텔,제주,4,8.1,4,299990
601,목,603,토,제주 아리아 호텔,서귀포,3,8.4,4,309444
601,목,603,토,라마다 바이 윈덤 제주 더 함덕,제주,4,7.8,4,279136
601,목,603,토,베니키아 호텔 제주,제주,3,7.5,4,146034
601,목,603,토,신신호텔 서귀포,서귀포,4,8.0,4,116122
601,목,603,토,샐리스 제주 호텔,제주,3,7.2,4,197748
601,목,603,토,퍼스트70 호텔,서귀포,4,8.1,4,122874
601,목,603,토,오션 팰리스 호텔,서귀포,4,7.4,4,161861
601,목,603,토,제주 노블레스 관광호텔,제주,3,7.8,4,172727
601,목,603,토,호텔 빠레브,서귀포,4,8.2,4,209506
601,목,603,토,애월 스테이 인 제주,제주,2,8.6,4,188431
601,목,603,토,오션블루 호텔,서귀포,3,7.2,4,245454
601,목,603,토,제주 썬호텔,제주,5,8.8,4,400909
601,목,603,토,블루 하와이 리조트,제주,3,7.9,4,168182
601,목,603,토,머큐어 앰배서더 제주,서귀포,5,8.0,4,376200
601,목,603,토,블룸 호텔,서귀포,3,8.3,4,261678
601,목,603,토,호텔 화인 제주,서귀포,4,9.2,4,383260
601,목,603,토,호텔 스카이파크 제주 1호점,제주,3,7.8,4,173022
601,목,603,토,엠버 호텔 제주,제주,4,8.5,4,173555
601,목,603,토,호텔더그랑 서귀포,서귀포,3,10.0,4,229091
601,목,603,토,탑스텐 빌라 드 애월,제주,4,8.2,4,296574
601,목,603,토,호텔 삼해인,제주,1,8.0,4,93648
601,목,603,토,소랑 풀빌라,제주,3,8.4,4,281818
601,목,603,토,오션스타,서귀포,0,0.0,4,229091
601,목,603,토,소노캄 제주,서귀포,4,7.5,4,282513
601,목,603,토,아루미호텔 협재점,제주,3,8.0,4,198348
601,목,603,토,호텔52,서귀포,3,7.0,4,145092
601,목,603,토,마레보 비치호텔,제주,3,8.5,4,206282
601,목,603,토,엘렌호텔,서귀포,2,9.0,4,289090
601,목,603,토,베이힐 풀&빌라,서귀포,5,9.0,4,1076115
601,목,603,토,다인 오세아노 호텔,제주,4,8.1,4,441022
601,목,603,토,흰수염 고래 리조트,제주,3,8.5,4,271282
601,목,603,토,그랜드메르 호텔 제주,서귀포,3,7.2,4,131902
601,목,603,토,BK호텔 제주,서귀포,3,8.5,4,100104
601,목,603,토,스테이 인 제주,서귀포,3,0.0,4,313074
601,목,603,토,코업시티호텔 하버뷰,서귀포,4,8.1,4,154391
601,목,603,토,라온 호텔 앤 리조트,제주,3,6.8,4,339981
601,목,603,토,골드원 호텔&스위트,서귀포,4,8.6,4,440000
601,목,603,토,제주 마레보 리조트,제주,3,7.6,4,258181
601,목,603,토,오션갤러리 호텔앤리조트,서귀포,3,9.4,4,610909
601,목,603,토,올레 리조트,제주,3,8.8,4,336363
601,목,603,토,블루스프링부띠끄호텔,제주,3,7.1,4,232407
601,목,603,토,씨사이드아덴,서귀포,4,8.0,4,431921
601,목,603,토,한화 리조트 제주,제주,3,7.8,4,408182
601,목,603,토,담앤루 리조트,서귀포,3,8.2,4,236363
601,목,603,토,비스타케이 호텔 월드컵,서귀포,4,7.9,4,130909
601,목,603,토,기린빌라리조트 제주,서귀포,4,9.0,4,563936
601,목,603,토,펄 호텔 제주,제주,3,6.9,4,88414
601,목,603,토,돈내코힐 리조트,서귀포,3,8.2,4,251818
601,목,603,토,갤럭시 호텔,제주,3,7.8,4,107440
601,목,603,토,켄싱턴리조트 서귀포,서귀포,3,8.1,4,271074
601,목,603,토,아로하 호텔,서귀포,3,7.8,4,216142
601,목,603,토,호텔 앨리스 앤 트렁크,제주,4,8.4,4,751570
601,목,603,토,오션스퀘어 리조트,서귀포,2,8.0,4,247343
601,목,603,토,제주 메이 더 호텔,제주,3,7.1,4,100000
601,목,603,토,그림리조트,제주,2,7.2,4,187088
601,목,603,토,티아일랜드 펜션,서귀포,3,7.6,4,223636
601,목,603,토,르메인호텔 서귀포,서귀포,0,0.0,4,275455
601,목,603,토,호텔 윈 스카이,서귀포,3,8.3,4,112909
602,금,604,일,제주 신라 호텔,서귀포,5,9.0,4,10780000
602,금,604,일,롯데 호텔 제주,서귀포,5,8.8,4,869090
602,금,604,일,라마다 프라자 제주 호텔,제주,5,8.2,4,371901
602,금,604,일,유탑 유블레스호텔,제주,4,8.0,4,700728
602,금,604,일,에코랜드 호텔,제주,0,0.0,4,939372
602,금,604,일,라마다 제주 시티 호텔,제주,4,8.1,4,297522
602,금,604,일,서머셋 제주신화월드,서귀포,5,8.6,4,1237286
602,금,604,일,휘닉스 제주 섭지코지,서귀포,4,7.8,4,724157
602,금,604,일,더큐브 리조트 제주,서귀포,4,8.2,4,163614
602,금,604,일,호텔 난타,제주,4,8.6,4,283991
602,금,604,일,더 베스트 제주 성산,서귀포,4,7.9,4,143802
602,금,604,일,한림리조트,제주,0,0.0,4,278182
602,금,604,일,서귀포 JS호텔,서귀포,4,8.4,4,132506
602,금,604,일,코델리아 S 호텔,서귀포,3,7.6,4,81818
602,금,604,일,함덕비치스테이제주,제주,2,8.0,4,180000
602,금,604,일,호텔 케니 모슬포,서귀포,3,8.4,4,152626
602,금,604,일,훈데르트힐즈,제주,0,0.0,4,821901
602,금,604,일,엠스테이 호텔 제주,서귀포,4,7.8,4,95868
602,금,604,일,제주 센트럴시티호텔,제주,3,7.7,4,179067
602,금,604,일,신신호텔 천지연,서귀포,4,7.9,4,142066
602,금,604,일,플레이스 캠프 제주,서귀포,4,8.3,4,383546
602,금,604,일,헤이 서귀포,서귀포,3,7.9,4,137545
602,금,604,일,유니호텔 제주,제주,4,7.7,4,611139
602,금,604,일,코업시티호텔 성산,서귀포,4,7.9,4,273473
602,금,604,일,스위트 호텔 제주,서귀포,5,8.3,4,515826
602,금,604,일,담모라 리조트,서귀포,3,7.3,4,132076
602,금,604,일,엠버퓨어힐호텔&리조트,제주,5,9.2,4,1000000
602,금,604,일,신신호텔 제주월드컵,서귀포,4,7.7,4,148356
602,금,604,일,라마다 바이 윈덤 제주 더 함덕,제주,4,7.8,4,297520
602,금,604,일,베니키아 호텔 제주,제주,3,7.5,4,146034
602,금,604,일,호텔 더 원,제주,4,7.4,4,272727
602,금,604,일,신신호텔 서귀포,서귀포,4,8.0,4,113400
602,금,604,일,샐리스 제주 호텔,제주,3,7.2,4,208022
602,금,604,일,씨오르리조트,서귀포,3,8.4,4,209090
602,금,604,일,오션 팰리스 호텔,서귀포,4,7.4,4,270000
602,금,604,일,제주 노블레스 관광호텔,제주,3,7.8,4,172727
602,금,604,일,호텔 빠레브,서귀포,4,8.2,4,158133
602,금,604,일,오션블루 호텔,서귀포,3,7.2,4,204798
602,금,604,일,제주 썬호텔,제주,5,8.8,4,400909
602,금,604,일,블루 하와이 리조트,제주,3,7.9,4,136363
602,금,604,일,블룸 호텔,서귀포,3,8.3,4,302480
602,금,604,일,호텔 화인 제주,서귀포,4,9.2,4,383260
602,금,604,일,엠버 호텔 제주,제주,4,8.5,4,181820
602,금,604,일,호텔더그랑 서귀포,서귀포,3,10.0,4,229091
602,금,604,일,호텔 삼해인,제주,1,8.0,4,95870
602,금,604,일,소랑 풀빌라,제주,3,8.4,4,309090
602,금,604,일,오션스타,서귀포,0,0.0,4,237273
602,금,604,일,아루미호텔 협재점,제주,3,8.0,4,206612
602,금,604,일,호텔52,서귀포,3,7.0,4,145092
602,금,604,일,엘렌호텔,서귀포,2,9.0,4,289090
602,금,604,일,베이힐 풀&빌라,서귀포,5,9.0,4,1346908
602,금,604,일,흰수염 고래 리조트,제주,3,8.5,4,343605
602,금,604,일,그랜드메르 호텔 제주,서귀포,3,7.2,4,128934
602,금,604,일,코업시티호텔 하버뷰,서귀포,4,8.1,4,115430
602,금,604,일,골드원 호텔&스위트,서귀포,4,8.6,4,458181
602,금,604,일,제주 마레보 리조트,제주,3,7.6,4,185904
602,금,604,일,블루 하와이 호텔,제주,0,0.0,4,118181
602,금,604,일,씨사이드아덴,서귀포,4,8.0,4,560109
602,금,604,일,담앤루 리조트,서귀포,3,8.2,4,245454
602,금,604,일,비스타케이 호텔 월드컵,서귀포,4,7.9,4,127952
602,금,604,일,기린빌라리조트 제주,서귀포,4,9.0,4,676724
602,금,604,일,펄 호텔 제주,제주,3,6.9,4,93535
602,금,604,일,돈내코힐 리조트,서귀포,3,8.2,4,272727
602,금,604,일,갤럭시 호텔,제주,3,7.8,4,107440
602,금,604,일,아로하 호텔,서귀포,3,7.8,4,221270
602,금,604,일,호텔 앨리스 앤 트렁크,제주,4,8.4,4,773137
602,금,604,일,오션스퀘어 리조트,서귀포,2,8.0,4,442764
602,금,604,일,제주 메이 더 호텔,제주,3,7.1,4,100000
602,금,604,일,그림리조트,제주,2,7.2,4,168716
602,금,604,일,티아일랜드 펜션,서귀포,3,7.6,4,285932
602,금,604,일,르메인호텔 서귀포,서귀포,0,0.0,4,282829
602,금,604,일,호텔 윈 스카이,서귀포,3,8.3,4,112909
602,금,604,일,팜밸리 리조트,서귀포,4,8.4,4,317080
602,금,604,일,제주 아이브 리조트,서귀포,3,7.9,4,120000
602,금,604,일,메가 리조트,제주,2,7.0,4,118150
602,금,604,일,이스턴호텔제주,서귀포,4,7.8,4,127272
602,금,604,일,해와돌 바라기 펜션,서귀포,3,9.8,4,215189
602,금,604,일,더 세리 리조트,서귀포,3,8.1,4,162000
602,금,604,일,제주 오션그랜드 호텔,제주,3,7.2,4,162720
602,금,604,일,제주브릭스호텔,서귀포,3,9.1,4,386182
602,금,604,일,체크인 호텔,제주,3,7.5,4,126218
602,금,604,일,제주호텔더엠,서귀포,0,8.0,4,65640
602,금,604,일,씨앤 호텔,제주,3,6.8,4,90727
602,금,604,일,오투힐리조트,제주,3,8.4,4,518182
602,금,604,일,클럽이에스 제주리조트,서귀포,4,8.0,4,494224
602,금,604,일,제주 허브인 펜션,제주,2,8.9,4,124200
602,금,604,일,제주 리치 호텔,제주,3,7.9,4,189350
602,금,604,일,나인부띠끄호텔,서귀포,3,8.2,4,95208
602,금,604,일,브리즈 베이 호텔,서귀포,3,8.3,4,155094
602,금,604,일,S 호텔 제주,제주,3,6.6,4,143636
602,금,604,일,제주 헬스케어 타운,서귀포,3,7.6,4,320248
602,금,604,일,베니키아 중문 호텔,서귀포,3,8.3,4,181798
602,금,604,일,아루미호텔,서귀포,3,8.3,4,193149
602,금,604,일,루시드 엠,서귀포,3,8.4,4,236363
602,금,604,일,파밀리아 호텔,서귀포,3,8.4,4,272727
602,금,604,일,제이 드림 호텔,제주,3,7.8,4,192709
602,금,604,일,펠리시아,서귀포,3,7.1,4,168300
602,금,604,일,일성 제주비치 리조트,제주,4,5.6,4,249178
602,금,604,일,호텔 컬리넌 제주,제주,2,7.3,4,152278
602,금,604,일,오크라 리조트,서귀포,0,10.0,4,315702
603,토,605,월,제주 신라 호텔,서귀포,5,9.0,4,10780000
603,토,605,월,메종 글래드 제주,제주,5,8.1,4,674048
603,토,605,월,롯데 호텔 제주,서귀포,5,8.8,4,1178000
603,토,605,월,라마다 프라자 제주 호텔,제주,5,8.2,4,364607
603,토,605,월,유탑 유블레스호텔,제주,4,8.0,4,710744
603,토,605,월,베스트웨스턴 제주호텔,제주,4,7.6,4,206281
