rent_date,rent_day,return_date,return_day,car_name,oiltype,num_seat,price,reserve_avail,rent_period,img_url
601,목,603,토,모닝 어반 ,가솔린,5,140800,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045166&fileSn=0
601,목,603,토,INTERACTIVE K5 ,가솔린,5,153000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045176&fileSn=0
601,목,603,토,쏘나타 DN8 ,가솔린,5,153000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004379&fileSn=0
601,목,603,토,K7 PREMIER  2.5,가솔린,5,163800,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045181&fileSn=0
601,목,603,토,더 뉴 그랜저 2.5 ,가솔린,5,163800,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045180&fileSn=0
601,목,603,토,더 뉴 K3 ,가솔린,5,169000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565796&fileSn=0
601,목,603,토,쏘울 부스터 ,가솔린,5,169000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004378&fileSn=0
601,목,603,토,올 뉴 아반떼 ,가솔린,5,169000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045167&fileSn=0
601,목,603,토,K8 2.5 ,가솔린,5,175000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554962&fileSn=0
601,목,603,토,캐스퍼 ,가솔린,4,176000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219244&fileSn=0
601,목,603,토,All New G80 2.5 ,가솔린,5,180000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554971&fileSn=0
601,목,603,토,XM3 1.4 ,가솔린,5,180000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045174&fileSn=0
601,목,603,토,트레일 블레이저 2WD ,가솔린,5,180000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000566203&fileSn=0
601,목,603,토,THE NEW G70 2.0 ,가솔린,5,201600,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219247&fileSn=0
601,목,603,토,G70 SHOOTING BRAKE  2.0,가솔린,5,207000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001707217&fileSn=0
601,목,603,토,THE K9 3.8 ,가솔린,5,228000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004382&fileSn=0
601,목,603,토,TESLA MODEL 3 ,전기,5,231000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000005298&fileSn=0
601,목,603,토,토레스 4WD ,가솔린,5,240000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001609323&fileSn=0
601,목,603,토,더 뉴 카니발 11인승 ,디젤,11,242000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003575&fileSn=0
601,목,603,토,더 뉴 카니발 9인승 ,디젤,9,242000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003139&fileSn=0
601,목,603,토,싼타페 TM 4WD 7인승 ,디젤,7,252000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003151&fileSn=0
601,목,603,토,스타리아 11인승 ,디젤,11,253000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219252&fileSn=0
601,목,603,토,카니발 KA4 9인승 ,디젤,9,253000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554976&fileSn=0
601,목,603,토,더 뉴 싼타페 4WD 7인승 ,디젤,7,264000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554978&fileSn=0
601,목,603,토,쏘렌토 MQ4 7인승 4WD ,디젤,7,264000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045177&fileSn=0
601,목,603,토,더 뉴 카니발 리무진 7인승 ,디젤,7,275000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000044030&fileSn=0
601,목,603,토,All New G80 ,전기,5,301000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842759&fileSn=0
601,목,603,토,카니발 KA4 하이리무진  7인승,가솔린,7,324000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565395&fileSn=0
601,목,603,토,팰리세이드 4WD 8인승 ,디젤,8,330000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004660&fileSn=0
601,목,603,토,GV80 4WD 7인승 ,디젤,7,400000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554979&fileSn=0
